2023-11-02 17:11:25.577 INFO  [restartedMain] [c.example.thymeleaf.ThymeleafApplication] - Starting ThymeleafApplication using Java 17.0.7 on stu-08-019 with PID 11028 (D:\sangmin0816\springboot\thymeleaf\build\classes\java\main started by db400tea in D:\sangmin0816\springboot\thymeleaf)
2023-11-02 17:11:30.532 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@30604fef, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2708a7a9, org.springframework.security.web.context.SecurityContextPersistenceFilter@3eb1d92c, org.springframework.security.web.header.HeaderWriterFilter@30c0020b, org.springframework.security.web.csrf.CsrfFilter@6d3cb153, org.springframework.security.web.authentication.logout.LogoutFilter@3ff51dc2, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@691e55ad, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@6f73550d, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@2cdfa8fc, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@1d3149db, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6b53874f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5ad193c6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2e804c18, org.springframework.security.web.session.SessionManagementFilter@6aad6c9, org.springframework.security.web.access.ExceptionTranslationFilter@18b29432, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@627a3059]
2023-11-02 17:11:30.552 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-02 17:11:30.562 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-02 17:11:30.572 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-02 17:11:30.578 INFO  [restartedMain] [c.example.thymeleaf.ThymeleafApplication] - Started ThymeleafApplication in 1.213 seconds (JVM running for 1.691)
2023-11-02 17:11:39.712 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-02 17:11:39.712 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-02 17:11:39.713 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 1 ms
2023-11-02 17:12:00.143 INFO  [restartedMain] [c.example.thymeleaf.ThymeleafApplication] - Starting ThymeleafApplication using Java 17.0.7 on stu-08-019 with PID 15016 (D:\sangmin0816\springboot\thymeleaf\build\classes\java\main started by db400tea in D:\sangmin0816\springboot\thymeleaf)
2023-11-02 17:12:00.147 INFO  [restartedMain] [c.example.thymeleaf.ThymeleafApplication] - No active profile set, falling back to 1 default profile: "default"
2023-11-02 17:12:00.187 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-02 17:12:00.188 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-02 17:12:00.611 WARN  [restartedMain] [o.m.spring.mapper.ClassPathMapperScanner] - No MyBatis mapper was found in '[com.example.thymeleaf]' package. Please check your configuration.
2023-11-02 17:12:00.835 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-02 17:12:00.840 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-02 17:12:00.841 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-02 17:12:00.841 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-02 17:12:00.882 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-02 17:12:00.883 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 695 ms
2023-11-02 17:12:01.194 WARN  [restartedMain] [o.s.b.a.s.s.UserDetailsServiceAutoConfiguration] - 

Using generated security password: c191d98f-824b-4819-8a24-03ccad728b15

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2023-11-02 17:12:01.255 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@75cdd560, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2f9f1644, org.springframework.security.web.context.SecurityContextPersistenceFilter@62307367, org.springframework.security.web.header.HeaderWriterFilter@7c6a2178, org.springframework.security.web.csrf.CsrfFilter@597f0fd2, org.springframework.security.web.authentication.logout.LogoutFilter@55b0394, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5f21d82f, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@746179d4, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@22191a0b, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@4a220558, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1f58aaea, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@61fdab94, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@c929b34, org.springframework.security.web.session.SessionManagementFilter@4ae00390, org.springframework.security.web.access.ExceptionTranslationFilter@199cda71, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@68a22ec6]
2023-11-02 17:12:01.282 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-02 17:12:01.294 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-02 17:12:01.305 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-02 17:12:01.313 INFO  [restartedMain] [c.example.thymeleaf.ThymeleafApplication] - Started ThymeleafApplication in 1.481 seconds (JVM running for 1.911)
2023-11-02 17:12:07.936 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-02 17:12:07.936 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-02 17:12:07.936 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 0 ms
2023-11-02 17:12:27.289 INFO  [restartedMain] [c.example.thymeleaf.ThymeleafApplication] - Starting ThymeleafApplication using Java 17.0.7 on stu-08-019 with PID 7364 (D:\sangmin0816\springboot\thymeleaf\build\classes\java\main started by db400tea in D:\sangmin0816\springboot\thymeleaf)
2023-11-02 17:12:27.291 INFO  [restartedMain] [c.example.thymeleaf.ThymeleafApplication] - No active profile set, falling back to 1 default profile: "default"
2023-11-02 17:12:27.316 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-02 17:12:27.316 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-02 17:12:27.629 WARN  [restartedMain] [o.m.spring.mapper.ClassPathMapperScanner] - No MyBatis mapper was found in '[com.example.thymeleaf]' package. Please check your configuration.
2023-11-02 17:12:27.832 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-02 17:12:27.837 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-02 17:12:27.838 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-02 17:12:27.838 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-02 17:12:27.872 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-02 17:12:27.872 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 556 ms
2023-11-02 17:12:28.119 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-02 17:12:28.126 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-02 17:12:28.137 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-02 17:12:28.143 INFO  [restartedMain] [c.example.thymeleaf.ThymeleafApplication] - Started ThymeleafApplication in 1.025 seconds (JVM running for 1.498)
2023-11-02 17:12:30.835 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-02 17:12:30.835 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-02 17:12:30.836 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 1 ms
2023-11-02 17:12:48.098 INFO  [restartedMain] [c.example.thymeleaf.ThymeleafApplication] - Starting ThymeleafApplication using Java 17.0.7 on stu-08-019 with PID 10304 (D:\sangmin0816\springboot\thymeleaf\build\classes\java\main started by db400tea in D:\sangmin0816\springboot\thymeleaf)
2023-11-02 17:12:48.099 INFO  [restartedMain] [c.example.thymeleaf.ThymeleafApplication] - No active profile set, falling back to 1 default profile: "default"
2023-11-02 17:12:48.122 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-02 17:12:48.122 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-02 17:12:48.439 WARN  [restartedMain] [o.m.spring.mapper.ClassPathMapperScanner] - No MyBatis mapper was found in '[com.example.thymeleaf]' package. Please check your configuration.
2023-11-02 17:12:48.649 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-02 17:12:48.653 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-02 17:12:48.654 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-02 17:12:48.654 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-02 17:12:48.693 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-02 17:12:48.693 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 570 ms
2023-11-02 17:12:48.952 WARN  [restartedMain] [o.s.b.a.s.s.UserDetailsServiceAutoConfiguration] - 

Using generated security password: aa3f7acd-d44a-4d10-adb8-e338b86a8ebf

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2023-11-02 17:12:49.001 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@44cab0c5, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2204282, org.springframework.security.web.context.SecurityContextPersistenceFilter@30972e6b, org.springframework.security.web.header.HeaderWriterFilter@13a5d857, org.springframework.security.web.csrf.CsrfFilter@498c0ff1, org.springframework.security.web.authentication.logout.LogoutFilter@5c2ccb66, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@2fbdb698, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@25109364, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@cc3bb47, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@261c0618, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5d3c627f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2ff9c2d8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@66254a21, org.springframework.security.web.session.SessionManagementFilter@1cedd57c, org.springframework.security.web.access.ExceptionTranslationFilter@944298b, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@672ba915]
2023-11-02 17:12:49.022 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-02 17:12:49.031 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-02 17:12:49.041 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-02 17:12:49.047 INFO  [restartedMain] [c.example.thymeleaf.ThymeleafApplication] - Started ThymeleafApplication in 1.157 seconds (JVM running for 1.591)
2023-11-02 17:14:00.212 INFO  [restartedMain] [c.example.thymeleaf.ThymeleafApplication] - Starting ThymeleafApplication using Java 17.0.7 on stu-08-019 with PID 5764 (D:\sangmin0816\springboot\thymeleaf\build\classes\java\main started by db400tea in D:\sangmin0816\springboot\thymeleaf)
2023-11-02 17:14:00.214 INFO  [restartedMain] [c.example.thymeleaf.ThymeleafApplication] - No active profile set, falling back to 1 default profile: "default"
2023-11-02 17:14:00.238 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-02 17:14:00.238 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-02 17:14:00.567 WARN  [restartedMain] [o.m.spring.mapper.ClassPathMapperScanner] - No MyBatis mapper was found in '[com.example.thymeleaf]' package. Please check your configuration.
2023-11-02 17:14:00.795 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-02 17:14:00.800 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-02 17:14:00.801 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-02 17:14:00.801 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-02 17:14:00.839 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-02 17:14:00.839 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 601 ms
2023-11-02 17:14:00.910 WARN  [restartedMain] [o.s.b.a.s.s.UserDetailsServiceAutoConfiguration] - 

Using generated security password: 35ae2f96-4166-4c63-83e9-a0107b22d69f

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2023-11-02 17:14:01.049 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@658fdb30, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2ea40abe, org.springframework.security.web.context.SecurityContextPersistenceFilter@2e5e443d, org.springframework.security.web.header.HeaderWriterFilter@6cdda420, org.springframework.security.web.authentication.logout.LogoutFilter@3eadbde5, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@37babaef, org.springframework.security.web.session.ConcurrentSessionFilter@64f643e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6ec3b817, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@79a713c9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@f00a978, org.springframework.security.web.session.SessionManagementFilter@6d9a72d6, org.springframework.security.web.access.ExceptionTranslationFilter@2a8ba0e, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@b453a4]
2023-11-02 17:14:01.217 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-02 17:14:01.227 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-02 17:14:01.238 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-02 17:14:01.245 INFO  [restartedMain] [c.example.thymeleaf.ThymeleafApplication] - Started ThymeleafApplication in 1.195 seconds (JVM running for 1.548)
2023-11-02 17:14:05.441 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-02 17:14:05.441 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-02 17:14:05.442 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 0 ms
2023-11-02 17:14:24.401 INFO  [restartedMain] [c.example.thymeleaf.ThymeleafApplication] - Starting ThymeleafApplication using Java 17.0.7 on stu-08-019 with PID 5940 (D:\sangmin0816\springboot\thymeleaf\build\classes\java\main started by db400tea in D:\sangmin0816\springboot\thymeleaf)
2023-11-02 17:14:24.403 INFO  [restartedMain] [c.example.thymeleaf.ThymeleafApplication] - No active profile set, falling back to 1 default profile: "default"
2023-11-02 17:14:24.455 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-02 17:14:24.456 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-02 17:14:25.061 WARN  [restartedMain] [o.m.spring.mapper.ClassPathMapperScanner] - No MyBatis mapper was found in '[com.example.thymeleaf]' package. Please check your configuration.
2023-11-02 17:14:25.303 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-02 17:14:25.308 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-02 17:14:25.308 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-02 17:14:25.309 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-02 17:14:25.342 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-02 17:14:25.342 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 886 ms
2023-11-02 17:14:25.390 WARN  [restartedMain] [o.s.b.a.s.s.UserDetailsServiceAutoConfiguration] - 

Using generated security password: e5fb0cfa-54af-444c-9d4f-a39431e8aa5d

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2023-11-02 17:14:25.519 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@18435809, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3c1368c3, org.springframework.security.web.context.SecurityContextPersistenceFilter@25c32458, org.springframework.security.web.header.HeaderWriterFilter@70ce7204, org.springframework.security.web.authentication.logout.LogoutFilter@6677a98, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@14791622, org.springframework.security.web.session.ConcurrentSessionFilter@7f77650f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2e9abc79, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@764036fd, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@69d4c768, org.springframework.security.web.session.SessionManagementFilter@2c2c84cd, org.springframework.security.web.access.ExceptionTranslationFilter@442c3677, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7809744b]
2023-11-02 17:14:25.673 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-02 17:14:25.681 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-02 17:14:25.691 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-02 17:14:25.697 INFO  [restartedMain] [c.example.thymeleaf.ThymeleafApplication] - Started ThymeleafApplication in 1.501 seconds (JVM running for 1.927)
2023-11-02 17:14:39.703 INFO  [restartedMain] [c.example.thymeleaf.ThymeleafApplication] - Starting ThymeleafApplication using Java 17.0.7 on stu-08-019 with PID 12660 (D:\sangmin0816\springboot\thymeleaf\build\classes\java\main started by db400tea in D:\sangmin0816\springboot\thymeleaf)
2023-11-02 17:14:39.704 INFO  [restartedMain] [c.example.thymeleaf.ThymeleafApplication] - No active profile set, falling back to 1 default profile: "default"
